,price,origin_id,destination_id,outbound_date,inbound_date,currency,origin_city_name,origin_country_name,destination_city_name,destination_country_name,direct,carrier_name,carrier_id,skyscanner_code,date_collected
69,284.0,PMI,LON,2017-05-14T00:00:00,2017-05-14T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
70,79.0,PMI,LON,2017-05-14T00:00:00,2017-05-14T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
71,57.0,PMI,LON,2017-05-15T00:00:00,2017-05-15T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
72,120.0,PMI,LON,2017-05-15T00:00:00,2017-05-15T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
73,34.0,PMI,LON,2017-05-15T00:00:00,2017-05-15T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
74,188.0,PMI,LON,2017-05-15T00:00:00,2017-05-15T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
75,50.0,PMI,LON,2017-05-15T00:00:00,2017-05-15T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
76,45.0,PMI,LON,2017-05-15T00:00:00,2017-05-15T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
77,22.0,PMI,LON,2017-05-16T00:00:00,2017-05-16T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
78,95.0,PMI,LON,2017-05-16T00:00:00,2017-05-16T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
79,24.0,PMI,LON,2017-05-16T00:00:00,2017-05-16T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
